time,event,queueSize,systemSize,meanQueueSize,meanSystemSize,meanWaitingTime,meanCallingTime,meanSystemTime,LittlesLaw
732759.46563455236078965526758111082017421722412109375000,finish,0,1,0.0054980411,0.0684657266,8.0094267204,91.7562240366,99.7393821736,0.06099488367371273912
734169.03709132482489252424784353934228420257568359375000,arrive,0,0,0.0054874851,0.0683342755,8.0094267204,91.7299554532,99.7393821736,0.06100543967371273912
734169.03709132482489252424784353934228420257568359375000,begin,1,1,0.0054874851,0.0683342755,8.0094267204,91.7299554532,99.7393821736,0.06100543967371273912
734695.88022953217565458317039883695542812347412109375000,finish,0,1,0.0054835501,0.0690023637,7.9935350007,91.7299554532,100.5868102610,0.06157432676022700870
738243.53666248605130562054910114966332912445068359375000,arrive,0,0,0.0054571987,0.0686707704,7.9935350007,92.5932752603,100.5868102610,0.06160067816022700870
738243.53666248605130562054910114966332912445068359375000,begin,1,1,0.0054571987,0.0686707704,7.9935350007,92.5932752603,100.5868102610,0.06160067816022700870
738311.68229999217417258705609128810465335845947265625000,finish,0,1,0.0054566950,0.0687567314,7.9777062186,92.5932752603,100.5225703149,0.06155835522735234383
739153.16742129942016248378422460518777370452880859375000,arrive,0,0,0.0054504828,0.0686784556,7.9777062186,92.5448640964,100.5225703149,0.06156456742735234383
739153.16742129942016248378422460518777370452880859375000,begin,1,1,0.0054504828,0.0686784556,7.9777062186,92.5448640964,100.5225703149,0.06156456742735234383
739167.72179460853967114530860271770507097244262695312500,finish,0,1,0.0054503755,0.0686967935,7.9619400007,92.5448640964,100.3526726924,0.06145140964002242308
745048.37043991541562348857041797600686550140380859375000,arrive,0,0,0.0054073558,0.0681545714,7.9619400007,92.3907326917,100.3526726924,0.06149442934002242308
745048.37043991541562348857041797600686550140380859375000,begin,1,1,0.0054073558,0.0681545714,7.9619400007,92.3907326917,100.3526726924,0.06149442934002242308
745068.78163297481405535904741554986685514450073242187500,finish,0,1,0.0054072077,0.0681800994,7.9462359771,92.3907326917,100.1949971902,0.06138946043329990634
745215.24768657606184518726877286098897457122802734375000,arrive,0,0,0.0054061449,0.0681666991,7.9462359771,92.2487612131,100.1949971902,0.06139052323329990634
745215.24768657606184518726877286098897457122802734375000,begin,1,1,0.0054061449,0.0681666991,7.9462359771,92.2487612131,100.1949971902,0.06139052323329990634
745288.65961221150201509999533300288021564483642578125000,finish,0,1,0.0054056124,0.0682584860,7.9305937803,92.2487612131,100.1422746084,0.06135590734367582028
747473.06609760035600942273958935402333736419677734375000,arrive,0,0,0.0053898151,0.0680590082,7.9305937803,92.2116808281,100.1422746084,0.06137170464367582028
747473.06609760035600942273958935402333736419677734375000,begin,1,1,0.0053898151,0.0680590082,7.9305937803,92.2116808281,100.1422746084,0.06137170464367582028
747531.53454971751987301331610069610178470611572265625000,finish,0,1,0.0053893936,0.0681319003,7.9150130459,92.2116808281,100.0604006938,0.06131754353121335646
749374.25146482423135552153325988911092281341552734375000,arrive,0,0,0.0053761410,0.0679643634,7.9150130459,92.1453876479,100.0604006938,0.06133079613121335646
749374.25146482423135552153325988911092281341552734375000,begin,1,1,0.0053761410,0.0679643634,7.9150130459,92.1453876479,100.0604006938,0.06133079613121335646
749418.52664327516077946711448021233081817626953125000000,finish,0,1,0.0053758234,0.0680194275,7.8994934125,92.1453876479,99.9510179051,0.06125819186843393017
753327.14250298396429883496239199303090572357177734375000,arrive,0,0,0.0053479311,0.0676665107,7.8994934125,92.0515244926,99.9510179051,0.06128608416843393017
753327.14250298396429883496239199303090572357177734375000,begin,1,1,0.0053479311,0.0676665107,7.8994934125,92.0515244926,99.9510179051,0.06128608416843393017
753339.23584442361040736102495429804548621177673339843750,finish,0,1,0.0053478452,0.0676814774,7.8840345213,92.0515244926,99.7790850745,0.06117154817563616915
754288.54724537128222294768420397303998470306396484375000,arrive,0,0,0.0053411147,0.0675962967,7.8840345213,91.8950505532,99.7790850745,0.06117827867563616915
754288.54724537128222294768420397303998470306396484375000,begin,1,1,0.0053411147,0.0675962967,7.8840345213,91.8950505532,99.7790850745,0.06117827867563616915
754477.21209410105148407410524669103324413299560546875000,finish,0,1,0.0053397791,0.0678294540,7.8686360164,91.8950505532,99.9526900816,0.06129535095282300272
764155.51884861732232678832588135264813899993896484375000,arrive,0,0,0.0052721489,0.0669703693,7.8686360164,92.0840540653,99.9526900816,0.06136298115282300272
764155.51884861732232678832588135264813899993896484375000,begin,1,1,0.0052721489,0.0669703693,7.8686360164,92.0840540653,99.9526900816,0.06136298115282300272
764415.15449247516513509026481187902390956878662109375000,finish,0,1,0.0052703582,0.0672872753,7.8532975446,92.0840540653,100.2639628960,0.06157228707279876320
766304.38770051129076676943441270850598812103271484375000,arrive,0,0,0.0052573647,0.0671213865,7.8532975446,92.4106653514,100.2639628960,0.06158528057279876320
766304.38770051129076676943441270850598812103271484375000,begin,1,1,0.0052573647,0.0671213865,7.8532975446,92.4106653514,100.2639628960,0.06158528057279876320
766407.42237576788922837067730142734944820404052734375000,finish,0,1,0.0052566579,0.0672468013,7.8380187556,92.4106653514,100.2693533870,0.06158958103364511290
767422.65451442865710163232506602071225643157958984375000,arrive,0,0,0.0052497038,0.0671578397,7.8380187556,92.4313346314,100.2693533870,0.06159653513364511290
767422.65451442865710163232506602071225643157958984375000,begin,1,1,0.0052497038,0.0671578397,7.8380187556,92.4313346314,100.2693533870,0.06159653513364511290
767459.62803909838086013905922300182282924652099609375000,finish,0,1,0.0052494509,0.0672027808,7.8227993017,92.4313346314,100.1464488652,0.06151485168168162884
767748.09079457522707201633238582871854305267333984375000,arrive,0,0,0.0052474786,0.0671775310,7.8227993017,92.3236495635,100.1464488652,0.06151682398168162884
767748.09079457522707201633238582871854305267333984375000,begin,1,1,0.0052474786,0.0671775310,7.8227993017,92.3236495635,100.1464488652,0.06151682398168162884
767947.76255037682323489889313350431621074676513671875000,finish,0,1,0.0052461142,0.0674200713,7.8076388379,92.3236495635,100.3393273670,0.06164677405597757890
768202.55449562175706290645393892191350460052490234375000,arrive,0,0,0.0052443742,0.0673977099,7.8076388379,92.5316885291,100.3393273670,0.06164851405597757890
768202.55449562175706290645393892191350460052490234375000,begin,1,1,0.0052443742,0.0673977099,7.8076388379,92.5316885291,100.3393273670,0.06164851405597757890
768302.96267661505279278344460180960595607757568359375000,finish,0,1,0.0052436888,0.0675195901,7.7925370220,92.5316885291,100.3394605462,0.06164928824211535154
771732.09059750397570809354874654673039913177490234375000,arrive,0,0,0.0052203889,0.0672195724,7.7925370220,92.5469235242,100.3394605462,0.06167258814211535154
771732.09059750397570809354874654673039913177490234375000,begin,1,1,0.0052203889,0.0672195724,7.7925370220,92.5469235242,100.3394605462,0.06167258814211535154
771981.25343646489579185754337231628596782684326171875000,finish,0,1,0.0052187040,0.0675206344,7.7774935142,92.5469235242,100.6267643655,0.06186580893122547885
775096.31498382497900223597753210924565792083740234375000,arrive,0,0,0.0051977303,0.0672492733,7.7774935142,92.8492708513,100.6267643655,0.06188678263122547885
775096.31498382497900223597753210924565792083740234375000,begin,1,1,0.0051977303,0.0672492733,7.7774935142,92.8492708513,100.6267643655,0.06188678263122547885
775326.74353908365807086511267698369920253753662109375000,finish,0,1,0.0051961856,0.0675264886,7.7625079776,92.8492708513,100.8768641553,0.06205506053276213851
779075.51507675285917997598517104052007198333740234375000,arrive,0,0,0.0051711825,0.0672015632,7.7625079776,93.1143561777,100.8768641553,0.06208006363276213851
779075.51507675285917997598517104052007198333740234375000,begin,1,1,0.0051711825,0.0672015632,7.7625079776,93.1143561777,100.8768641553,0.06208006363276213851
779174.75324300383021380866921390406787395477294921875000,finish,0,1,0.0051705238,0.0673203674,7.7475800776,93.1143561777,100.8737128131,0.06207862143785709377
780407.82526105075842082214876427315175533294677734375000,arrive,0,0,0.0051623542,0.0672139988,7.7475800776,93.1261327355,100.8737128131,0.06208679103785709377
780407.82526105075842082214876427315175533294677734375000,begin,1,1,0.0051623542,0.0672139988,7.7475800776,93.1261327355,100.8737128131,0.06208679103785709377
780496.79006413403032382802848587743937969207763671875000,finish,0,1,0.0051617658,0.0673203223,7.7327094825,93.1261327355,100.8508550210,0.06207214090902850070
783553.86894416304087229718788876198232173919677734375000,arrive,0,0,0.0051416269,0.0670576683,7.7327094825,93.1181455385,100.8508550210,0.06209227980902850070
783553.86894416304087229718788876198232173919677734375000,begin,1,1,0.0051416269,0.0670576683,7.7327094825,93.1181455385,100.8508550210,0.06209227980902850070
