time,size,room
52579.3710009312607525089333648793399333953857421875,1,1
52579.3710009312607525089333648793399333953857421875,0,1
52904.8145929077487465974627411924302577972412109375,0,0
54414.6216782236160867114449501968920230865478515625,1,1
54414.6216782236160867114449501968920230865478515625,0,1
54461.2948233718332033959086402319371700286865234375,1,2
54596.1257896846108366162297897972166538238525390625,1,1
54596.1257896846108366162297897972166538238525390625,0,1
54654.3057748770133201787757570855319499969482421875,0,0
56738.9379913134982729161492898128926753997802734375,1,1
56738.9379913134982729161492898128926753997802734375,0,1
56743.25628771055508092757690974394790828227996826171875,1,2
56837.5180017473162905616845819167792797088623046875,1,1
56837.5180017473162905616845819167792797088623046875,0,1
56850.76208124001917809664519154466688632965087890625,0,0
57548.17469726696404119792305209557525813579559326171875,1,1
57548.17469726696404119792305209557525813579559326171875,0,1
57549.212355061746320128435172591707669198513031005859375,0,0
60474.31883639160028121040113546769134700298309326171875,1,1
60474.31883639160028121040113546769134700298309326171875,0,1
60524.52507490681013546662825319799594581127166748046875,0,0
62802.28153749694288432436906077782623469829559326171875,1,1
62802.28153749694288432436906077782623469829559326171875,0,1
62803.2494304030717058306976241510710678994655609130859375,0,0
63690.93553288417561031309332975069992244243621826171875,1,1
63690.93553288417561031309332975069992244243621826171875,0,1
63869.19031725233557050813715250114910304546356201171875,1,2
63987.60222222526132451747571394662372767925262451171875,1,1
63987.60222222526132451747571394662372767925262451171875,0,1
64038.44240629643038698048940204898826777935028076171875,0,0
64376.17950674563243307346738220076076686382293701171875,1,1
64376.17950674563243307346738220076076686382293701171875,0,1
64438.07449104306987930357308869133703410625457763671875,0,0
68094.51619881278073886932133973459713160991668701171875,1,1
68094.51619881278073886932133973459713160991668701171875,0,1
68114.99133706807103560976202061283402144908905029296875,0,0
68342.56632629352597074756658912519924342632293701171875,1,1
68342.56632629352597074756658912519924342632293701171875,0,1
68438.61383286234603939846010689507238566875457763671875,0,0
68667.43525440077948029937715546111576259136199951171875,1,1
68667.43525440077948029937715546111576259136199951171875,0,1
68668.6219911686044781173876572211156599223613739013671875,0,0
68942.30692085290891224502729528467170894145965576171875,1,1
68942.30692085290891224502729528467170894145965576171875,0,1
68959.97881132481023325198066231678240001201629638671875,0,0
69452.21433139374570497892591447453014552593231201171875,1,1
69452.21433139374570497892591447453014552593231201171875,0,1
69462.96783777707759011121879666461609303951263427734375,0,0
70270.22058604794593872355790153960697352886199951171875,1,1
70270.22058604794593872355790153960697352886199951171875,0,1
70530.24783876074766464370213725487701594829559326171875,0,0
70855.09294015019562618107329399208538234233856201171875,1,1
70855.09294015019562618107329399208538234233856201171875,0,1
70957.83855730262211647385584001312963664531707763671875,0,0
72104.41053224710602886915467024664394557476043701171875,1,1
72104.41053224710602886915467024664394557476043701171875,0,1
72291.26334572958827617839006052236072719097137451171875,0,0
72708.90479957311978420619880125741474330425262451171875,1,1
72708.90479957311978420619880125741474330425262451171875,0,1
72758.26124856179412869749967285315506160259246826171875,0,0
75613.50505812205752942389835880021564662456512451171875,1,1
75613.50505812205752942389835880021564662456512451171875,0,1
75620.26255744644665313103359949309378862380981445312500,0,0
76554.35170250139330061500686497311107814311981201171875,1,1
76554.35170250139330061500686497311107814311981201171875,0,1
76564.32032306105934704731907913810573518276214599609375,0,0
76641.90047698272568776900470766122452914714813232421875,1,1
76641.90047698272568776900470766122452914714813232421875,0,1
76667.71653831585356453359736406127922236919403076171875,0,0
78019.52499897455599420226235451991669833660125732421875,1,1
78019.52499897455599420226235451991669833660125732421875,0,1
78096.13225914130951377245537514681927859783172607421875,0,0
78810.98214589198793600388626146013848483562469482421875,1,1
78810.98214589198793600388626146013848483562469482421875,0,1
78828.43478475041259567746010361588560044765472412109375,0,0
82504.77769942222236476681018757517449557781219482421875,1,1
82504.77769942222236476681018757517449557781219482421875,0,1
82533.69076015753877850755770850810222327709197998046875,0,0
83023.09269669970721405860558661515824496746063232421875,1,1
83023.09269669970721405860558661515824496746063232421875,0,1
83250.36647847109473286053571428055875003337860107421875,0,0
84626.13109958517319864057526501710526645183563232421875,1,1
84626.13109958517319864057526501710526645183563232421875,0,1
84671.96016557250836154224771235021762549877166748046875,0,0
88552.41993123414890032307766887242905795574188232421875,1,1
88552.41993123414890032307766887242905795574188232421875,0,1
88587.88849442629401220727913823793642222881317138671875,0,0
90404.42213658007703269703370096976868808269500732421875,1,1
90404.42213658007703269703370096976868808269500732421875,0,1
90630.19302733803497584830211053485982120037078857421875,0,0
92539.27812124326309639599230649764649569988250732421875,1,1
92539.27812124326309639599230649764649569988250732421875,0,1
92614.00332916747907585630628091166727244853973388671875,0,0
93904.43109983192475009872168811853043735027313232421875,1,1
93904.43109983192475009872168811853043735027313232421875,0,1
94019.18212125466412043550690214033238589763641357421875,0,0
94730.77436766594727668433506551082246005535125732421875,1,1
94730.77436766594727668433506551082246005535125732421875,0,1
94853.33087760043096192674738631467334926128387451171875,0,0
96542.45997984883028220082223924691788852214813232421875,1,1
96542.45997984883028220082223924691788852214813232421875,0,1
96735.33008187914257813844187694485299289226531982421875,0,0
97597.16652527964246655045599254663102328777313232421875,1,1
97597.16652527964246655045599254663102328777313232421875,0,1
97703.74420976479316447438350223819725215435028076171875,0,0
98704.56940714634860523091219874913804233074188232421875,1,1
98704.56940714634860523091219874913804233074188232421875,0,1
98771.85872727823538763658461903105489909648895263671875,0,0
101977.12934994026322055304945024545304477214813232421875,1,1
101977.12934994026322055304945024545304477214813232421875,0,1
102034.18680551676201684330180796678178012371063232421875,0,0
104710.22793479151963946804926308686845004558563232421875,1,1
104710.22793479151963946804926308686845004558563232421875,0,1
