density,velocity
3.482815442561205454552464289008639752864837646484375,1.42383472106492981081996432007274
3.448681732580038072910610935650765895843505859375,1.41865889542736466833540756477542
3.412193973634651822379737495793960988521575927734375,1.43609302513830328147616074351830
3.36982109227871973189394338987767696380615234375,1.43170910244302756827573633185457
3.346280602636535039806631175451911985874176025390625,1.43016646621197558450174588556209
3.31332391713747664852007801528088748455047607421875,1.43746125325641179663486808021262
3.2815442561205276916780348983593285083770751953125,1.43493825270901783991605638920042
3.24152542372881402599205102887935936450958251953125,1.43895828353706443615120689773226
3.20621468926553720990568763227201998233795166015625,1.44323141578296175796372344736335
3.169726930320150959374814192415215075016021728515625,1.44876276222010063195915515142907
3.1320621468926557184886405593715608119964599609375,1.44757241735424068420335568080057
3.106167608286252601601518108509480953216552734375,1.44421444470765002220961180890790
