time,size,room
22437.8020798543027201077393328887410461902618408203125,1,1
22437.8020798543027201077393328887410461902618408203125,0,1
22443.37321553412285712880702703841961920261383056640625,0,0
22483.7376308247187726152560571790672838687896728515625,1,1
22483.7376308247187726152560571790672838687896728515625,0,1
22497.5655785137183517718995062750764191150665283203125,0,0
23217.7243641115132195551495897234417498111724853515625,1,1
23217.7243641115132195551495897234417498111724853515625,0,1
23251.5722729097639831508104180102236568927764892578125,0,0
25079.1658114832152168816037374199368059635162353515625,1,1
25079.1658114832152168816037374199368059635162353515625,0,1
25286.6138795123172915424447637633420526981353759765625,0,0
25798.3122275396438372041529873968102037906646728515625,1,1
25798.3122275396438372041529873968102037906646728515625,0,1
25800.1428486389498762054728331349906511604785919189453125,0,0
25913.7907512547455528562068138853646814823150634765625,1,1
25913.7907512547455528562068138853646814823150634765625,0,1
26067.2631658593769063969602939323522150516510009765625,1,2
26225.5994763458999248229019940481521189212799072265625,1,1
26225.5994763458999248229019940481521189212799072265625,0,1
26246.5392096894783353633329170406796038150787353515625,0,0
26286.8830792157512039608491249964572489261627197265625,1,1
26286.8830792157512039608491249964572489261627197265625,0,1
26470.3008365470376848094247179687954485416412353515625,0,0
27050.8396742277397013509698808775283396244049072265625,1,1
27050.8396742277397013509698808775283396244049072265625,0,1
27059.6395826315270216610997522366233170032501220703125,0,0
27586.3541184353451942712354139075614511966705322265625,1,1
27586.3541184353451942712354139075614511966705322265625,0,1
27603.4093827200369997143525324645452201366424560546875,0,0
28219.0536843687961070514802486286498606204986572265625,1,1
28219.0536843687961070514802486286498606204986572265625,0,1
28238.2168414696296725452384634991176426410675048828125,0,0
28250.9967148592104297932792178471572697162628173828125,1,1
28250.9967148592104297932792178471572697162628173828125,0,1
28273.4045643325544876489630041760392487049102783203125,1,2
28324.5506182345417176549062787671573460102081298828125,1,1
28324.5506182345417176549062787671573460102081298828125,0,1
28357.1134397159451285830300548695959150791168212890625,0,0
28585.4064402443217165483702046913094818592071533203125,1,1
28585.4064402443217165483702046913094818592071533203125,0,1
28609.8203337040767291199472310836426913738250732421875,0,0
28984.4997835806575796624429131043143570423126220703125,1,1
28984.4997835806575796624429131043143570423126220703125,0,1
29122.2807688573281570398876283434219658374786376953125,1,2
29283.4443820158624891547560764593072235584259033203125,1,1
29283.4443820158624891547560764593072235584259033203125,0,1
29371.0933739143629299661597542581148445606231689453125,0,0
29515.5118614040603137738116856780834496021270751953125,1,1
29515.5118614040603137738116856780834496021270751953125,0,1
29680.8268825624651885419780228403396904468536376953125,0,0
29860.4407151525347803300292071071453392505645751953125,1,1
29860.4407151525347803300292071071453392505645751953125,0,1
29909.0068197882914819984989662771113216876983642578125,1,2
29936.4446348827052855057218039291910827159881591796875,2,3
30008.4703314876506698993807731312699615955352783203125,2,2
30008.4703314876506698993807731312699615955352783203125,1,2
30012.7399216331248563705003107315860688686370849609375,1,1
30012.7399216331248563705003107315860688686370849609375,0,1
30069.7411789183110908396656668628565967082977294921875,0,0
30194.6513039691431838917878849315457046031951904296875,1,1
30194.6513039691431838917878849315457046031951904296875,0,1
30195.59571412837876092094546720545622520148754119873046875,1,2
30198.93015781588616608388520035077817738056182861328125,1,1
30198.93015781588616608388520035077817738056182861328125,0,1
30245.12571978968493791040117457669111900031566619873046875,1,2
30268.09601359178198076715915476597729139029979705810546875,2,3
30273.50100090572681654776943105389364063739776611328125,2,2
30273.50100090572681654776943105389364063739776611328125,1,2
30475.42184459811699515086047540535219013690948486328125,1,1
30475.42184459811699515086047540535219013690948486328125,0,1
30521.32166939894804347233048247289843857288360595703125,0,0
30558.09324686159517436845334259487572126090526580810546875,1,1
30558.09324686159517436845334259487572126090526580810546875,0,1
30623.31377379008621442135762436009827069938182830810546875,0,0
31340.81506458175409857158655313469353131949901580810546875,1,1
31340.81506458175409857158655313469353131949901580810546875,0,1
31433.11328947118168553043204838104429654777050018310546875,0,0
31551.20181966543291973703588837452116422355175018310546875,1,1
31551.20181966543291973703588837452116422355175018310546875,0,1
31582.34491171319106139758758899915846996009349822998046875,0,0
32283.87140624192691784610786953635397367179393768310546875,1,1
32283.87140624192691784610786953635397367179393768310546875,0,1
32324.72618499141719705658459815822425298392772674560546875,1,2
32479.19183844328757782005112630940857343375682830810546875,1,1
32479.19183844328757782005112630940857343375682830810546875,0,1
32619.87165984999044876513352164693060331046581268310546875,0,0
32830.47245057091782693969861384175601415336132049560546875,1,1
32830.47245057091782693969861384175601415336132049560546875,0,1
32925.45471674405518835992978665672126226127147674560546875,0,0
33787.39510420912170995944023843549075536429882049560546875,1,1
33787.39510420912170995944023843549075536429882049560546875,0,1
33808.06805164364061677684247797515126876533031463623046875,0,0
33879.73039653543346882980102918736520223319530487060546875,1,1
33879.73039653543346882980102918736520223319530487060546875,0,1
33984.74951769840087745233603300221147947013378143310546875,0,0
34960.77459345277511981731066725842538289725780487060546875,1,1
34960.77459345277511981731066725842538289725780487060546875,0,1
35167.11305507803441894321139216117444448173046112060546875,0,0
35427.93044091428580866232067592136445455253124237060546875,1,1
35427.93044091428580866232067592136445455253124237060546875,0,1
35476.18448094487233201999032417006674222648143768310546875,0,0
35616.86396052047603955070798065207782201468944549560546875,1,1
35616.86396052047603955070798065207782201468944549560546875,0,1
35781.78158644520303066638433620028081350028514862060546875,0,0
35797.35621391380700895279431961171212606132030487060546875,1,1
35797.35621391380700895279431961171212606132030487060546875,0,1
35886.26794189082050745565055649421992711722850799560546875,1,2
35913.71467047625881530148461706630769185721874237060546875,1,1
35913.71467047625881530148461706630769185721874237060546875,0,1
35948.17304557513567953019872902586939744651317596435546875,0,0
36362.14672657861842519633199799500289373099803924560546875,1,1
36362.14672657861842519633199799500289373099803924560546875,0,1
36444.86212074033534047412530298970523290336132049560546875,0,0
36482.86506465148400291109709314696374349296092987060546875,1,1
36482.86506465148400291109709314696374349296092987060546875,0,1
36560.80612002528871851136926807157578878104686737060546875,0,0
37362.79018919533612386185694731466355733573436737060546875,1,1
37362.79018919533612386185694731466355733573436737060546875,0,1
37420.47755523389090892560915335707250051200389862060546875,0,0
38548.53799426586763654523082323066773824393749237060546875,1,1
38548.53799426586763654523082323066773824393749237060546875,0,1
38569.10062063620372352357179579485091380774974822998046875,1,2
38686.02955993011005186854589510403457097709178924560546875,1,1
38686.02955993011005186854589510403457097709178924560546875,0,1
38748.33547740757033561731503823466482572257518768310546875,0,0
38961.15068593864835999607265648592147044837474822998046875,1,1
38961.15068593864835999607265648592147044837474822998046875,0,1
38987.52050818921158092944523332334938459098339080810546875,1,2
38988.54076956329608660833940803058794699609279632568359375,2,3
39000.84273352112471566766060959707829169929027557373046875,2,2
39000.84273352112471566766060959707829169929027557373046875,1,2
39150.76121035896800204323398020278546027839183807373046875,1,1
39150.76121035896800204323398020278546027839183807373046875,0,1
39166.49121072661216647059490014726179651916027069091796875,0,0
39399.21341550790795904557484163888148032128810882568359375,1,1
39399.21341550790795904557484163888148032128810882568359375,0,1
39473.98442701248862929386262976549915038049221038818359375,0,0
39807.61708903081383537081450185723952017724514007568359375,1,1
39807.61708903081383537081450185723952017724514007568359375,0,1
39818.19222202492658657657642606864101253449916839599609375,1,2
39852.73801741841694334933521304265013895928859710693359375,1,1
39852.73801741841694334933521304265013895928859710693359375,0,1
39918.66106369921322316596246082553989253938198089599609375,1,2
39918.72872863651176189581093467495520599186420440673828125,2,3
39968.61636644475774315932170566156855784356594085693359375,2,2
39968.61636644475774315932170566156855784356594085693359375,1,2
40136.34614219808480439777298443004838190972805023193359375,1,1
40136.34614219808480439777298443004838190972805023193359375,0,1
40215.97026229825057297428969604879966937005519866943359375,0,0
40235.97868548253367848577255472264369018375873565673828125,1,1
40235.97868548253367848577255472264369018375873565673828125,0,1
40250.15659863355578729215977773492340929806232452392578125,0,0
40277.41607815301856831968763117401977069675922393798828125,1,1
40277.41607815301856831968763117401977069675922393798828125,0,1
40334.17061085408703846599820508345146663486957550048828125,0,0
40616.18239068291828985923785921841044910252094268798828125,1,1
40616.18239068291828985923785921841044910252094268798828125,0,1
40623.88928392453849902654638981402968056499958038330078125,0,0
41061.47075653022049224194489625006099231541156768798828125,1,1
41061.47075653022049224194489625006099231541156768798828125,0,1
41122.12140494273907720401695087275584228336811065673828125,0,0
41296.47960676827947523737094570606132037937641143798828125,1,1
41296.47960676827947523737094570606132037937641143798828125,0,1
41502.62945766075649445259188041745801456272602081298828125,0,0
41850.87342001771569599544164930193801410496234893798828125,1,1
41850.87342001771569599544164930193801410496234893798828125,0,1
41927.71994433619738018581557525976677425205707550048828125,0,0
42782.81445525213153147081612814872642047703266143798828125,1,1
42782.81445525213153147081612814872642047703266143798828125,0,1
42901.91048446324450893474278245776076801121234893798828125,0,0
43540.53107037474681206834503655045409686863422393798828125,1,1
43540.53107037474681206834503655045409686863422393798828125,0,1
43798.43006532726784840736655723958392627537250518798828125,0,0
44636.05908461211581894634292666523833759129047393798828125,1,1
44636.05908461211581894634292666523833759129047393798828125,0,1
44717.55445479091808025362553280501742847263813018798828125,0,0
46258.13258814797721030220856164305587299168109893798828125,1,1
46258.13258814797721030220856164305587299168109893798828125,0,1
46349.33379409647536661953637349142809398472309112548828125,0,0
46853.10261644403815595172346775143523700535297393798828125,1,1
46853.10261644403815595172346775143523700535297393798828125,0,1
46884.43701166894551335406760017576743848621845245361328125,0,0
47191.81277927684679085462704506426234729588031768798828125,1,1
47191.81277927684679085462704506426234729588031768798828125,0,1
47264.93593724308960546398594715356011874973773956298828125,0,0
47315.92097117551910756549915504365344531834125518798828125,1,1
47315.92097117551910756549915504365344531834125518798828125,0,1
47460.02676919342733541373746675162692554295063018798828125,0,0
47674.08939777844765572911711615233798511326313018798828125,1,1
47674.08939777844765572911711615233798511326313018798828125,0,1
47883.03005079316839343039902132659335620701313018798828125,0,0
47938.35259386766220146558481474130530841648578643798828125,1,1
47938.35259386766220146558481474130530841648578643798828125,0,1
47947.38988168826903468744404790413682349026203155517578125,0,0
47999.83281076347043481167276013366063125431537628173828125,1,1
47999.83281076347043481167276013366063125431537628173828125,0,1
48092.73362144098104054013020913771470077335834503173828125,0,0
48285.23552040676162377952351789645035751163959503173828125,1,1
48285.23552040676162377952351789645035751163959503173828125,0,1
48298.83115844752077727708439169873599894344806671142578125,0,0
49091.35534630521789367652019109300454147160053253173828125,1,1
