time,event,queueSize,systemSize,meanQueueSize,meanSystemSize,meanWaitingTime,meanCallingTime,meanSystemTime,LittlesLaw
10995.5821240315509701446217150078155100345611572265625,arrive,0,0,0.0211715808,0.2252917522,9.6997439859,93.5175044935,103.2172484793,0.18526291615860000000
10995.5821240315509701446217150078155100345611572265625,begin,1,1,0.0211715808,0.2252917522,9.6997439859,93.5175044935,103.2172484793,0.18526291615860000000
11057.0928457711141152941536347498185932636260986328125,finish,0,1,0.0210538031,0.2296014622,9.3117542264,93.5175044935,101.5489874098,0.18204417171960000000
11614.3299895688087506329111420200206339359283447265625,arrive,0,0,0.0200436750,0.2185855480,9.3117542264,92.2372331833,101.5489874098,0.18305429981960000000
11614.3299895688087506329111420200206339359283447265625,begin,1,1,0.0200436750,0.2185855480,9.3117542264,92.2372331833,101.5489874098,0.18305429981960000000
11645.1437708086261633155800154781900346279144287109375,finish,0,1,0.0199906382,0.2206532197,8.9536098331,92.2372331833,98.8284025571,0.17766616691420000000
12163.2144234176462394003692679689265787601470947265625,arrive,0,0,0.0191391722,0.2112548852,8.9536098331,89.8747927240,98.8284025571,0.17851763291420000000
12163.2144234176462394003692679689265787601470947265625,begin,1,1,0.0191391722,0.2112548852,8.9536098331,89.8747927240,98.8284025571,0.17851763291420000000
12175.8693198074625865245934619451873004436492919921875,finish,0,1,0.0191192801,0.2120746614,8.6219946541,89.8747927240,95.6367912175,0.17215430233500000000
12286.5313964288561212612194140092469751834869384765625,arrive,0,0,0.0189470769,0.2101645517,8.6219946541,87.0147965634,95.6367912175,0.17232650553500000000
12286.5313964288561212612194140092469751834869384765625,begin,1,1,0.0189470769,0.2101645517,8.6219946541,87.0147965634,95.6367912175,0.17232650553500000000
12344.0018851049228647553945847903378307819366455078125,finish,0,1,0.0188588642,0.2138418218,8.3140662736,87.0147965634,94.2737089839,0.16968855376780000000
12695.2616914416470397242164835915900766849517822265625,arrive,0,0,0.0183370663,0.2079251232,8.3140662736,85.9596427103,94.2737089839,0.17021035166780000000
12695.2616914416470397242164835915900766849517822265625,begin,1,1,0.0183370663,0.2079251232,8.3140662736,85.9596427103,94.2737089839,0.17021035166780000000
12700.3896288637199258886312236427329480648040771484375,finish,0,1,0.0183296625,0.2082449331,8.0273743331,85.9596427103,91.1997168611,0.16406977122220000000
12730.3830206113719913929571703192777931690216064453125,arrive,0,0,0.0182864769,0.2077542981,8.0273743331,83.1723425280,91.1997168611,0.16411295682220000000
12730.3830206113719913929571703192777931690216064453125,begin,1,1,0.0182864769,0.2077542981,8.0273743331,83.1723425280,91.1997168611,0.16411295682220000000
12870.5001884335730739650216492009349167346954345703125,finish,0,1,0.0180873977,0.2163792328,7.7597951887,83.1723425280,92.8302985598,0.16757319941960000000
12968.1055937118768799365398081135936081409454345703125,arrive,0,0,0.0179512616,0.2147506385,7.7597951887,85.0705033711,92.8302985598,0.16770933551960000000
12968.1055937118768799365398081135936081409454345703125,begin,1,1,0.0179512616,0.2147506385,7.7597951887,85.0705033711,92.8302985598,0.16770933551960000000
13163.6238035048060641685196969774551689624786376953125,finish,0,1,0.0176846330,0.2264138820,7.5094792149,85.0705033711,96.1428118254,0.17460099065080000000
